Date,Mkt-RF,SMB,HML,RF,SANDP,MSFT,FORD,PG
1-Jan,-3.36,0.38,0.31,0,1123.58,23.013071,8.542161,47.817108
1-Feb,3.4,1.2,3.16,0,1089.16,23.413229,9.251381,49.514103
1-Mar,6.31,1.42,2.1,0.01,1152.05,24.031397,9.905437,49.506283
1-Apr,2,4.98,2.81,0.01,1197.32,25.056971,10.260046,48.637733
1-May,-7.89,0.05,-2.38,0.01,1125.06,21.167976,9.243501,48.1684
1-Jun,-5.56,-1.97,-4.5,0.01,1083.36,18.964071,7.943264,47.293182
1-Jul,6.93,0.16,-0.27,0.01,1079.8,21.271736,10.063042,48.223591
1-Aug,-4.77,-3,-1.95,0.01,1087.28,19.343184,8.89677,47.41695
1-Sep,9.54,3.92,-3.12,0.01,1122.08,20.291504,9.645389,47.655365
1-Oct,3.88,1.15,-2.59,0.01,1171.58,22.097773,11.134752,50.516098
1-Nov,0.6,3.7,-0.9,0.01,1198.89,20.929499,12.561071,48.902546
1-Dec,6.82,0.7,3.81,0.01,1241.53,23.267279,13.23089,51.513031
1-Jan,1.99,-2.47,0.81,0.01,1282.62,23.117222,12.568951,50.552116
1-Feb,3.49,1.52,1.09,0.01,1321.12,22.158522,11.859733,50.862339
1-Mar,0.45,2.6,-1.55,0.01,1304.49,21.291574,11.74941,49.692631
1-Apr,2.9,-0.34,-2.51,0,1331.51,21.736027,12.190702,52.354744
1-May,-1.27,-0.7,-2.06,0,1338.31,20.972919,11.757291,54.49704
1-Jun,-1.75,-0.18,-0.31,0,1287.29,21.946026,10.866824,51.707123
1-Jul,-2.36,-1.31,-1.23,0,1325.19,23.127737,9.62175,50.01527
1-Aug,-5.99,-3.06,-2.44,0.01,1185.31,22.452477,8.762806,52.220917
1-Sep,-7.59,-3.48,-1.46,0,1173.88,21.141701,7.620173,51.810898
1-Oct,11.35,3.41,-0.17,0,1207.22,22.619667,9.204099,52.475143
1-Nov,-0.28,-0.17,-0.35,0,1226.42,21.727795,8.353037,53.382481
1-Dec,0.74,-0.71,1.74,0,1243.32,22.21661,8.47912,55.15168
1-Jan,5.05,2.15,-1.09,0,1300.58,25.271822,9.787234,52.11755
1-Feb,4.42,-1.75,0.09,0,1352.49,27.163143,9.794001,56.350487
1-Mar,3.11,-0.61,0.87,0,1389.24,27.789909,9.873112,56.008816
1-Apr,-0.85,-0.52,-0.47,0,1386.43,27.583172,8.923775,53.033798
1-May,-6.19,0.02,-0.62,0.01,1341.27,25.1453,8.390337,52.347885
1-Jun,3.89,0.77,0.44,0,1323.48,26.524225,7.619634,51.473885
1-Jul,0.79,-2.58,-0.25,0,1359.78,25.553089,7.341545,54.23877
1-Aug,2.55,0.41,1.28,0.01,1403.45,26.723654,7.421,56.955612
1-Sep,2.73,0.5,1.52,0.01,1443.42,25.975487,7.876782,58.795055
1-Oct,-1.76,-1.14,3.79,0.01,1437.82,24.910635,8.915304,58.693348
1-Nov,0.78,0.59,-0.96,0.01,1394.51,23.234793,9.191336,59.67955
1-Dec,1.18,1.47,3.55,0.01,1422.29,23.504921,10.39544,58.021553
1-Jan,5.57,0.39,0.92,0,1480.4,24.156122,10.39544,64.234802
1-Feb,1.29,-0.45,0,0,1512.31,24.464123,10.19705,65.634384
1-Mar,4.03,0.79,-0.26,0,1550.83,25.385376,10.633719,66.392563
1-Apr,1.55,-2.44,0.59,0,1570.7,29.369312,11.086562,66.142693
1-May,2.8,1.67,2.55,0,1639.84,30.966436,12.679598,66.619995
1-Jun,-1.2,1.22,-0.19,0,1618.77,30.861908,12.601696,66.819603
1-Jul,5.65,1.86,0.55,0,1668.68,28.44943,13.750267,69.692375
1-Aug,-2.71,0.3,-2.78,0,1670.09,29.843309,13.265868,68.107079
1-Sep,3.77,2.94,-1.18,0,1687.17,29.94562,13.823054,66.09597
1-Oct,4.18,-1.49,1.15,0,1720.03,31.862221,14.019705,70.607872
1-Nov,3.12,1.24,0.24,0,1783.54,34.309704,14.075048,74.217796
1-Dec,2.81,-0.5,-0.3,0,1807.78,33.917126,12.715342,71.741524
1-Jan,-3.32,0.87,-2.08,0,1822.36,34.30698,12.32803,67.520378
1-Feb,4.65,0.33,-0.39,0,1817.04,34.733093,12.784034,69.842506
1-Mar,0.43,-1.89,5.09,0,1863.52,37.441544,12.958473,71.565033
1-Apr,-0.19,-4.25,1.14,0,1864.26,36.902618,13.415344,73.296463
1-May,2.06,-1.83,-0.26,0,1889.77,37.39587,13.762962,72.306847
1-Jun,2.61,3.06,-0.74,0,1947.09,38.358791,14.432692,70.33786
1-Jul,-2.04,-4.23,0.01,0,1973.1,39.701805,14.248515,69.201218
1-Aug,4.24,0.37,-0.57,0,1961.53,41.789921,14.679444,74.977455
1-Sep,-1.97,-3.82,-1.22,0,1993.23,42.911755,12.470362,75.545807
1-Oct,2.52,4.23,-1.69,0,1937.27,43.457882,11.880148,78.730385
1-Nov,2.55,-2.06,-2.99,0,2044.57,44.253918,13.381057,82.206886
1-Dec,-0.06,2.54,2.07,0,2054.27,43.266247,13.185402,82.806862
1-Jan,-3.11,-0.57,-3.47,0,2028.18,37.63092,12.513372,76.625214
1-Feb,6.13,0.53,-1.77,0,2082.2,40.844452,14.041803,77.939247
1-Mar,-1.12,3.05,-0.45,0,2079.99,38.142635,13.869931,75.018707
1-Apr,0.59,-2.97,1.85,0,2094.86,45.628563,13.577753,72.793961
1-May,1.36,0.94,-1.33,0,2111.94,43.958771,13.159269,72.345825
1-Jun,-1.53,2.81,-0.81,0,2099.29,41.685722,13.020476,72.207397
1-Jul,1.54,-4.15,-4.14,0,2094.14,44.093388,12.864334,70.786133
1-Aug,-6.04,0.49,2.69,0,2039.87,41.090885,12.154517,65.755135
1-Sep,-3.08,-2.64,0.53,0,1944.41,42.065155,11.891622,66.936806
1-Oct,7.75,-1.98,-0.09,0,2024.81,50.029591,12.978257,71.068024
1-Nov,0.56,3.64,-0.51,0,2080.62,51.654785,12.685414,70.260986
1-Dec,-2.17,-2.81,-2.57,0.01,2054.08,53.084164,12.472959,74.551392
1-Jan,-5.77,-3.39,2.1,0.01,1918.6,52.711006,10.569704,76.691887
1-Feb,-0.07,0.78,-0.48,0.02,1904.42,48.682812,11.447788,76.034531
1-Mar,6.96,0.89,1.14,0.02,2021.95,53.224377,12.353729,77.947464
1-Apr,0.92,0.67,3.25,0.01,2075.54,48.059025,12.408635,75.873543
1-May,1.78,-0.26,-1.8,0.01,2065.55,51.075367,12.480731,77.373459
1-Jun,-0.05,0.65,-1.49,0.02,2083.89,49.656723,11.629562,80.839218
1-Jul,3.95,2.64,-1.13,0.02,2148.9,55.003773,11.712828,81.71759
1-Aug,0.5,1.17,3.34,0.02,2170.95,55.760704,11.785138,84.012985
1-Sep,0.25,2.01,-1.49,0.02,2157.69,56.244946,11.289414,86.360855
1-Oct,-2.02,-4.36,4.16,0.02,2143.02,58.510365,10.980755,83.522247
1-Nov,4.86,5.48,8.27,0.01,2164.99,58.842373,11.325895,79.958748
1-Dec,1.82,0.08,3.61,0.03,2246.63,61.088055,11.48688,81.52961
1-Jan,1.94,-1.05,-2.68,0.04,2275.12,63.555569,11.704687,84.942841
1-Feb,3.57,-1.99,-1.79,0.04,2329.91,62.896912,12.056902,89.007439
1-Mar,0.17,1.2,-3.17,0.03,2366.82,65.137604,11.200506,87.815071
1-Apr,1.09,0.73,-1.91,0.05,2358.84,67.709076,11.036924,85.35215
1-May,1.06,-2.54,-3.75,0.06,2388.33,69.073936,10.844345,86.754181
1-Jun,0.78,2.15,1.32,0.06,2430.06,68.564697,10.912611,85.828438
1-Jul,1.87,-1.42,-0.28,0.07,2431.39,72.314713,10.941868,89.442787
1-Aug,0.17,-1.71,-2.26,0.07,2477.1,74.373741,10.894718,91.583717
1-Sep,2.51,4.54,3.04,0.09,2474.42,74.489998,11.82319,90.303314
