DATE,CCLACBW027SBOG
2015-01-01,625.0707750000000000
2015-02-01,626.5267750000000000
2015-03-01,626.3865500000000000
2015-04-01,631.6458800000000000
2015-05-01,634.8295750000000000
2015-06-01,636.7673750000000000
2015-07-01,641.0916400000000000
2015-08-01,645.4493250000000000
2015-09-01,649.4562600000000000
2015-10-01,653.4066750000000000
2015-11-01,655.4490500000000000
2015-12-01,657.9526800000000000
2016-01-01,663.1644000000000000
2016-02-01,664.0423250000000000
2016-03-01,670.0339400000000000
2016-04-01,674.5763500000000000
2016-05-01,678.1988750000000000
2016-06-01,686.6362800000000000
2016-07-01,697.5325250000000000
2016-08-01,701.1165400000000000
2016-09-01,703.3960250000000000
2016-10-01,705.9220000000000000
2016-11-01,707.3162400000000000
2016-12-01,710.6406500000000000
2017-01-01,711.7999750000000000
